,Unnamed: 0_x,fipsCode,amount_land,amount_water,latitude,longitude,venue_id,brand,state_x,city,daily_traffic_avg,home_air_distance_kilometers_median,home_air_distance_kilometers_25th_pct,home_air_distance_75th_kilometers_pct,work_air_distance_kilometers_median,work_air_distance_25th_kilometers_pct,work_air_distance_75th_kilometers_pct,traffic_fraction,people_fraction,venue_air_distance,population,Unnamed: 0_y,state_y,map_count_by_city,Unnamed: 0,state,daily_traffic_avg_avg,home_air_distance_kilometers_median_avg,home_air_distance_kilometers_25th_pct_avg,home_air_distance_75th_kilometers_pct_avg,work_air_distance_kilometers_median_avg,work_air_distance_25th_kilometers_pct_avg,work_air_distance_75th_kilometers_pct_avg,income_mean,income_median
26,27,80010085293,3704092.0,90384,39.9202989,-104.973423,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.002,0.004,4.655,2307,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
27,28,80010085331,1199768.0,9570,39.8905907,-104.9470867,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.01,0.012,3.055,3705,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
28,29,80010085332,2153260.0,26973,39.8934847,-104.9569919,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.017,0.018000000000000002,2.003,4532,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
29,30,80010085341,857154.0,10245,39.8959673,-104.9251715,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.003,0.005,4.119,2094,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
30,31,80010085342,667825.0,2542,39.8957017,-104.935731,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.005,0.005,3.427,1132,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
31,32,80010085343,815153.0,16486,39.8885643,-104.9323008,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006999999999999999,0.009000000000000001,3.937,1521,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
32,33,80010085351,15158608.0,937126,39.8937823,-104.880132,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.005,0.006999999999999999,6.599,3784,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
33,34,80010085401,13096117.0,613446,39.9394959,-104.8910262,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.019,0.025,4.581,7319,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
34,35,80010085411,36334525.0,813746,39.9777625,-104.8802348,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.027000000000000003,0.026,6.2029999999999985,4897,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
35,36,80010085441,2608396.0,21323,39.9547675,-104.9535393,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.017,0.021,3.144,4968,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
